station1,station2,line,time
2,1,BG,0.5
1,49,BG,0.5
49,18,BG,0.5
18,68,BG,0.5
68,58,BG,1.5
58,4,BG,1.5
4,14,BG,2.5
2,31,BS,0.25
31,54,BS,0.25
54,27,BS,1
27,29,BS,0.5
29,63,BS,0.5
63,37,BS,2
37,69,BS,0.25
69,5,BS,0.5
5,59,BS,0.25
59,50,BS,0.25
50,44,BS,0.25
54,53,BH,0.5
53,47,BH,2
47,3,BH,1
3,20,BH,1
47,8,BH,2
2,22,BB,2.5
64,63,XY,2
63,68,XL,2
68,34,XL,1
34,61,XL,1.5
61,62,XL,0.25
62,32,XL,3.5
32,55,XL,12
61,6,BC,3.5
6,7,CK,2
7,16,CK,2
16,30,CK,2.5
16,15,GG,2.5
15,14,GG,3
30,38,NG,4
38,14,NG,3.5
27,56,JJ,1
56,42,JJ,1
42,66,JJ,1
29,33,JJ,1
33,42,JJ,2
6,16,CG,3.5
7,58,,5
58,21,,1.5
21,25,,2
37,25,,1
25,19,,0.5
16,4,SK,3.5
4,36,SK,1.5
36,28,SK,2
28,19,SK,1
26,44,SK,0.5
19,26,SK,0.5
42,64,sea,3.5
64,39,sea,1
39,44,sea,1.5
19,46,sea,0.5
46,41,sea,0.5
41,52,sea,1
52,57,sea,1
57,12,sea,2
12,43,sea,1
43,60,sea,0.5
60,45,sea,2
45,24,sea,2
24,48,sea,1.5
48,23,sea,0.25
48,9,sea,0.25
9,14,sea,0.5
14,10,sea,0.25
68,40,O,1
68,51,O,3
51,61,O,3
51,49,O,1.5
61,67,O,3.5
68,11,O,1.5
11,21,O,1.5
58,19,,4
58,36,,2
36,13,,2
36,12,,3
13,60,,3.5
25,37,,1
28,57,,1
21,37,,0.75
15,4,,3.5
21,12,,4.5
10,70,,0.25
70,71,,0.25
71,35,,0.25
35,23,,0.5
63,65,,2
65,69,,0.5
65,39,,1.5
26,25,,0.5
26,50,,0.5
46,28,,1
14,17,boat,10
13,24,j9,3.5
