station1,station2,line,time
2,1,BG,0.5
2,31,BS,0.25
2,22,BB,2.5
44,50,,
44,26,,
44,39,,
14,10,,
14,9,,
14,17,,
14,15,,
14,4,,
14,38,,
31,54,,
1,49,,
26,25,,
26,19,,
50,59,,
39,64,,
39,65,,
9,24,,
9,48,,
15,16,,
4,36,,
4,58,,
10,70,,
30,38,,
49,51,,
49,18,,
54,27,,
54,53,,
19,28,,
19,46,,
19,58,,
25,21,,
25,37,,
1,49,,
31,54,,
54,53,,
54,27,,
49,51,,
49,18,,
18,68,,
27,29,,
27,56,,
51,61,,
53,47,,
68,34,,
68,40,,
68,11,,
68,58,,
29,63,,
61,6,,
61,62,,
61,67,,
29,33,,
56,42,,
47,8,,
47,3,,
5,59,,
65,69,,
64,63,,
64,42,,
58,21,,
58,68,,
16,6,,
16,7,,
24,13,,
36,12,,
36,28,,
58,68,,
58,36,,
58,4,,
58,7,,
41,46,,
28,57,,
63,29,,
33,42,,
11,21,,
21,12,,
42,56,,
42,66,,
63,68,,
21,37,,
12,23,,
12,57,,
24,45,,
71,35,,
13,60,,
12,43,,
6,7,,
52,57,,
13,36,,
4,15,,
16,30,,
4,16,,
34,61,,
32,62,,
32,55,,
3,20,,
43,60,,
52,41,,
