station1,station2,line,time
2,1,BG,0.5
2,31,BS,0.25
2,22,BB,2.5
1,49,,
31,54,,
54,53,,
54,27,,
49,51,,
49,18,,
18,68,,
27,29,,
27,56,,
51,61,,
53,47,,
68,34,,
68,40,,
68,11,,
68,58,,
29,63,,
61,6,,
61,62,,
61,67,,
29,33,,
56,42,,
47,8,,
47,3,,
58,19,,
58,21,,
6,7,,
58,36,,
58,4,,
63,37,,
63,65,,
63,64,,
6,16,,
32,62,,
42,66,,
3,20,,
19,25,,
36,12,,
19,26,,
19,46,,
19,28,,
36,13,,
4,14,,
4,15,,
64,39,,
37,69,,
16,30,,
32,55,,
12,43,,
26,50,,
39,44,,
46,41,,
13,24,,
43,60,,
14,9,,
14,10,,
14,17,,
14,38,,
5,69,,
41,52,,
60,45,,
9,48,,
10,70,,
50,59,,
48,23,,
70,71,,
71,35,,
52,57,,
